,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
36,2023-04-13,187.8395040336898,160.48166106626488,209.39458218932032,187.8395040336898,187.8395040336898,-3.3399515940589355,-3.3399515940589355,-3.3399515940589355,-3.3399515940589355,-3.3399515940589355,-3.3399515940589355,0.0,0.0,0.0,184.49955243963086
37,2023-04-14,187.9095341031354,162.8621093030249,208.33638877237394,187.9095341031354,187.9095341031354,-3.1402132779219296,-3.1402132779219296,-3.1402132779219296,-3.1402132779219296,-3.1402132779219296,-3.1402132779219296,0.0,0.0,0.0,184.76932082521347
38,2023-04-17,188.11962431147225,160.59064316446063,210.3362469705569,188.11962431147225,188.11962431147225,-3.5589341468133315,-3.5589341468133315,-3.5589341468133315,-3.5589341468133315,-3.5589341468133315,-3.5589341468133315,0.0,0.0,0.0,184.56069016465892
39,2023-04-18,188.18965438091786,163.73253253153734,213.77267807098536,188.18965438091786,188.18965438091786,-0.7246710724216172,-0.7246710724216172,-0.7246710724216172,-0.7246710724216172,-0.7246710724216172,-0.7246710724216172,0.0,0.0,0.0,187.46498330849624
40,2023-04-19,188.25968445036344,162.0160838040402,209.45209473288972,188.25968445036344,188.25968445036344,-1.680283251988052,-1.680283251988052,-1.680283251988052,-1.680283251988052,-1.680283251988052,-1.680283251988052,0.0,0.0,0.0,186.5794011983754
41,2023-04-20,188.55599943722345,161.347712962295,209.7697390954244,188.55599943722345,188.55599943722345,-3.33995159405606,-3.33995159405606,-3.33995159405606,-3.33995159405606,-3.33995159405606,-3.33995159405606,0.0,0.0,0.0,185.2160478431674
42,2023-04-21,188.8523144240834,163.41048970064523,209.59468508020555,188.8523144240834,188.8523144240834,-3.1402132779239316,-3.1402132779239316,-3.1402132779239316,-3.1402132779239316,-3.1402132779239316,-3.1402132779239316,0.0,0.0,0.0,185.71210114615948
43,2023-04-24,189.74125938466338,161.73612929166333,209.78715711437832,189.74125938466338,189.74125938466338,-3.5589341468246083,-3.5589341468246083,-3.5589341468246083,-3.5589341468246083,-3.5589341468246083,-3.5589341468246083,0.0,0.0,0.0,186.18232523783877
44,2023-04-25,190.03757437152333,166.50727592334937,213.54516384028037,190.03757437152333,190.03757437152333,-0.7246710724184495,-0.7246710724184495,-0.7246710724184495,-0.7246710724184495,-0.7246710724184495,-0.7246710724184495,0.0,0.0,0.0,189.31290329910487
45,2023-04-26,190.33388935838335,165.54727470188791,213.79845084621434,190.33388935838335,190.33388935838335,-1.6802832519813207,-1.6802832519813207,-1.6802832519813207,-1.6802832519813207,-1.6802832519813207,-1.6802832519813207,0.0,0.0,0.0,188.65360610640204
46,2023-04-27,190.6302043452433,162.55546142252663,210.9581921671218,190.6302043452433,190.6302043452433,-3.3399515940604,-3.3399515940604,-3.3399515940604,-3.3399515940604,-3.3399515940604,-3.3399515940604,0.0,0.0,0.0,187.2902527511829
47,2023-04-28,190.9265193321033,165.39328398819978,212.32218481800976,190.9265193321033,190.9265193321033,-3.140213277925932,-3.140213277925932,-3.140213277925932,-3.140213277925932,-3.140213277925932,-3.140213277925932,0.0,0.0,0.0,187.78630605417737
48,2023-05-01,191.81546429268323,163.67981071164513,210.55235335993171,191.81546429268323,191.81546429268323,-3.5589341468235394,-3.5589341468235394,-3.5589341468235394,-3.5589341468235394,-3.5589341468235394,-3.5589341468235394,0.0,0.0,0.0,188.2565301458597
49,2023-05-02,192.52316662343353,166.1542761575948,217.4387786032816,192.52316662343353,192.52316662343353,-0.7246710724170214,-0.7246710724170214,-0.7246710724170214,-0.7246710724170214,-0.7246710724170214,-0.7246710724170214,0.0,0.0,0.0,191.79849555101652
50,2023-05-03,193.23086895418382,168.0276245200992,215.5503537886944,193.23086895418382,193.23086895418382,-1.6802832519819684,-1.6802832519819684,-1.6802832519819684,-1.6802832519819684,-1.6802832519819684,-1.6802832519819684,0.0,0.0,0.0,191.55058570220186
51,2023-05-04,193.93857128493408,165.39521738476802,214.0519420357651,193.93857128493408,193.93857128493408,-3.339951594049883,-3.339951594049883,-3.339951594049883,-3.339951594049883,-3.339951594049883,-3.339951594049883,0.0,0.0,0.0,190.5986196908842
52,2023-05-05,194.64627361568438,166.63472790801484,214.6463949068419,194.64627361568438,194.64627361568438,-3.140213277908007,-3.140213277908007,-3.140213277908007,-3.140213277908007,-3.140213277908007,-3.140213277908007,0.0,0.0,0.0,191.50606033777638
53,2023-05-08,196.76938060793523,168.22697085714643,216.84275242921578,196.76938060793523,196.76938060793523,-3.5589341468286433,-3.5589341468286433,-3.5589341468286433,-3.5589341468286433,-3.5589341468286433,-3.5589341468286433,0.0,0.0,0.0,193.21044646110659
54,2023-05-09,197.47708293868553,172.65571584275995,219.85955632235277,197.47708293868553,197.47708293868553,-0.724671072415593,-0.724671072415593,-0.724671072415593,-0.724671072415593,-0.724671072415593,-0.724671072415593,0.0,0.0,0.0,196.75241186626994
55,2023-05-10,198.18478526943576,171.8017355063933,220.32818926075024,198.18478526943576,198.18478526943576,-1.6802832519856565,-1.6802832519856565,-1.6802832519856565,-1.6802832519856565,-1.6802832519856565,-1.6802832519856565,0.0,0.0,0.0,196.5045020174501
56,2023-05-11,198.89248760018603,173.51856020761437,220.81375448825418,198.89248760018603,198.89248760018603,-3.3399515940542233,-3.3399515940542233,-3.3399515940542233,-3.3399515940542233,-3.3399515940542233,-3.3399515940542233,0.0,0.0,0.0,195.55253600613182
